level,sentence
1,잘 지내세요?
1,나는 여자야
1,저는 여자예요
1,나는 선생님이야
1,저는 선생님이에요
1,나는 사람이야
1,저는 사람이에요
1,(그 사람은 의사야
1,그 사람은 의사예요)
1,그 사람은 선생님이야
1,그 사람은 선생님이에요
1,이것은 탁자야
1,이것은 탁자예요
1,저것은 침대야
1,저것은 침대예요
1,그 사람은 남자야
1,그 사람은 남자예요
1,그 사람은 여자야
1,그 사람은 여자예요
1,그것은 차야
1,그것은 차예요
1,이것은 나무야
1,이것은 나무예요
1,나는 펜이 있어
1,저는 펜이 있어요
1,나는 차가 있어
1,저는 차가 있어요
1,나는 잡지가 있어
1,저는 잡지가 있어요
1,나는 가방이 있어
1,저는 가방이 있어요
1,나는 학교에 있어
1,저는 학교에 있어요
1,나는 캐나다에 있어
1,저는 캐나다에 있어요
1,나는 학교 앞에 있어
1,저는 학교 앞에 있어요
1,나는 학교 뒤에 있어
1,저는 학교 뒤에 있어요
1,나는 학교 옆에 있어
1,저는 학교 옆에 있어요
1,나는 은행 안에 있어
1,저는 은행 안에 있어요
1,개는 집 안에 있어
1,개는 집 안에 있어요
1,고양이는 의자 밑에 있어
1,고양이는 의자 밑에 있어요
1,식당은 은행 옆에 있어
1,식당은 은행 옆에 있어요
1,호텔은 학교 옆에 있어
1,호텔은 학교 옆에 있어요
1,나는 케이크를 만들어
1,저는 케이크를 만들어요
1,나는 배를 원해
1,저는 배를 원해요
1,나는 한국어를 말해
1,저는 한국어를 말해요
1,나는 공원에 가
1,저는 공원에 가요
1,나는 문을 닫아
1,저는 문을 닫아요
1,나는 창문을 열어
1,저는 창문을 열어요
1,나는 이해해
1,저는 이해해요
1,나는 아름답다
1,나는 작다
1,이 버스는 크다
1,그 병원은 새롭다
1,이 공원은 매우 작다
1,그 사람은 뚱뚱하다
1,선생님의 차는 크다
1,나는 선생님의 차를 원해
1,저는 선생님의 차를 원해요
1,나의 손가락은 길다
1,그 여자의 눈은 아름답다
1,나는 
1,나는 친구를 만나
1,저는 친구를 만나요
1,이 음식은 좋다
1,그 선생님은 좋다
1,이 학교는 좋다
1,나는 이 음식을 좋아해
1,저는 이 음식을 좋아해요
1,나는 그 선생님을 좋아해
1,저는 그 선생님을 좋아해요
1,우리는 너를 좋아해
1,선생님은 우리를 좋아해
1,선생님은 우리를 좋아해요
1,우리 선생님은 남자야 | 우리 선생님은 남자예요
1,우리 집은 크다
1,버스 정류장
1,안녕히 가세요
1,안녕히 계세요
1,만나서 반갑습니다
1,이름이 뭐예요?
1,어디에서 왔어요?
1,나는 배를 원해
1,저는 배를 원해요
1,음식은 비싸다
1,비싼 음식
1,나는 비싼 음식을 먹어
